vedio_url,comment_user,content,comment_time,like_count,dislike_count,reply_count,post_like_count,post_dislike_count,post_comment_count,CrawlTime
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Deborah Eloise Mattge,we know that this album deserved the grammy,3 years ago,2.9K,,36,120K,,492,1682967041607
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Diamond Jacobs,"I just love the beautiful breath and whispering. This song is so lovely and leaves me deep in my emotions.  ""pray you catch me."" Praying that my lover catches me hurting and notices the pain he has caused.",4 years ago (edited),1.3K,,4,120K,,492,1682967041985
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Regina Zavala,"I was cheated on and dumped when the Lemonade album came out. So damn healing, thanks Queen Bey <3",2 years ago,431,,2,120K,,492,1682967042320
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Victoria Ndey,You can taste the dishonesty,3 years ago,802,,5,120K,,492,1682967042597
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Angel Washington,This is the kind of song that you have to go through something to understand the lyricism. Well written song!!,3 years ago,207,,,120K,,492,1682967042927
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Living Like Jaida,The album was Grammy worthy and still is,2 years ago,184,,2,120K,,492,1682967043331
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Yanmike Olowe,"Listening to this on the 7th yr anniversary of this beautiful and legendary album! Lemonade, you'll always be famous!!",8 days ago,3,,,120K,,492,1682967043712
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,mistmaraj,Omg finally Bey released this iconic af album on streaming services!! WIG FLEW!!!!,4 years ago,1.2K,,2,120K,,492,1682967043986
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Hafsa XVI,"The ""What are you doing my love""",3 years ago,126,,,120K,,492,1682967044258
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Beyoncé Yemoja,So heavenly ,3 years ago,86,,2,120K,,492,1682967044573
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,•mandia,"This song got me crying, pointing at my wall as if it’s a guy who cheated on me.",2 years ago,599,,7,120K,,492,1682967044846
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Jason Smalls,[Verse 1],3 years ago,38,,,120K,,492,1682967045104
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Curvygodd ess,Man this is one of my favorite Beyonce songs! When you been there before it hits different..I pray you catch me so we don't have to pretend like I don't know anymore! I see everything and hear everything,3 years ago,35,,,120K,,492,1682967045323
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Canteiro da Daci,"Essa música é tão espiritual... ""Um processo de auto conhecimento e cura""",4 years ago,8,,,120K,,492,1682967045512
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Mickow Komani,This song takes me back to my last relationship....but by the grace of God I found love again and it's not the same as it was before even when we go through hardships his literally my strength and I'm grateful,2 years ago,28,,,120K,,492,1682967045704
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Penélope Alvarenga,Essa música traz uma paz ,2 months ago,6,,,120K,,492,1682967045877
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Kermit,One of the best albums I've heard in my life!,2 years ago,15,,,120K,,492,1682967046081
https://www.youtube.com/watch?v=rN-ElZwUADQ&list=OLAK5uy_m9dO997hqyquaE-xTYmZUqhm2pyKbQj-k,Nick Andrew,Minha favorita ,4 years ago,9,,,120K,,492,1682967046364
