Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Time,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Retweet_or_not,Retweet_Original_Tweet_Content,Retweet_Original_Tweet_Poster,Retweet_Original_Tweet_Time,Retweet_Original_Tweet_PosterID
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/davido/status/1641577352453844992/retweets,@davido,https://twitter.com/davido,1680217514000,2023-03-30 23:5:14,"At long last - WE are back. The journey from my last album to this album has been a whirlwind to say the least. I recall sitting & staring over the ocean not too long ago, wondering if I could get here again, after all I’ve been through… but with your love & support, we made it.",null,null,null,null,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/davido/status/1641577922090745863,@davido,https://twitter.com/davido,1680217650000,2023-03-30 23:7:30,"I’m not sure what comes after this but I wanted to give you my heart, soul and energy. Today I present you “TIMELESS”. 

So many people to thank who helped make this happen but first, I must send a special thank you to the strongest woman I know, 
@thechefchi
 !",null,36K,"6,685",769,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/davido/status/1641578004399681537,@davido,https://twitter.com/davido,1680217669000,2023-03-30 23:7:49,"Thank you, thank you, thank you. 

And to all my supporters - I love you. 

Now, enjoy! I’ll see you all on road soon!",https://pbs.twimg.com/card_img/1651724209750515712/Cz_TCSES?format=jpg&name=360x360,27.7K,"5,582",804,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/EmareyoRoyal/status/1641577465905651714,@EmareyoRoyal,https://twitter.com/EmareyoRoyal,1680217541000,2023-03-30 23:5:41,It is time ,null,69,2,2,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/___AYO_/status/1641577474315132929,@___AYO_,https://twitter.com/___AYO_,1680217543000,2023-03-30 23:5:43,Baddest ,null,87,1,2,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/ChristDeKing/status/1641577510474338305,@ChristDeKing,https://twitter.com/ChristDeKing,1680217552000,2023-03-30 23:5:52,OBO. Let’s go. Follow me guys,null,28,,2,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/EmmyCruz123/status/1641577522323234816,@EmmyCruz123,https://twitter.com/EmmyCruz123,1680217555000,2023-03-30 23:5:55,Shekpe!!!,null,79,1,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/x1unkwn/status/1641577656364744704,@x1unkwn,https://twitter.com/x1unkwn,1680217586000,2023-03-30 23:6:26,Big David  never disappoints,null,35,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Mbahdeyforyou/status/1641577868516904965,@Mbahdeyforyou,https://twitter.com/Mbahdeyforyou,1680217637000,2023-03-30 23:7:17,BADDEST ,null,300,20,6,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/digitalaom/status/1641577904860454915,@digitalaom,https://twitter.com/digitalaom,1680217646000,2023-03-30 23:7:26,,https://pbs.twimg.com/profile_images/1588211281097629697/ffGeHpxn_mini.jpg,31,,1,Yes,"Just listened to @davido's new album #Timeless and I'm blown away! The beats, the lyrics, the collaborations - everything about it is just amazing. It's clear that Davido poured his heart and soul into this project. Congrats on a job well done! #Afrobeats #NaijaMusic  like… Show more",Olayemi,Mar 30,@digitalaom
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/abdulkarerm_m/status/1641577966327984130,@abdulkarerm_m,https://twitter.com/abdulkarerm_m,1680217660000,2023-03-30 23:7:40,The best album ever no cap ,null,149,12,13,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/iamhbozz/status/1641578012888924163,@iamhbozz,https://twitter.com/iamhbozz,1680217671000,2023-03-30 23:7:51,,null,52,3,,Yes,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/OhakweHowler/status/1641578043545202690,@OhakweHowler,https://twitter.com/OhakweHowler,1680217679000,2023-03-30 23:7:59,"IFB

The 001

The ",null,33,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Shawnifee/status/1641578044761554946,@Shawnifee,https://twitter.com/Shawnifee,1680217679000,2023-03-30 23:7:59,"Good to have you back, king! 

Time to enjoy good music once again!",null,242,9,4,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/dammiedammie35/status/1641578334017519617,@dammiedammie35,https://twitter.com/dammiedammie35,1680217748000,2023-03-30 23:9:8,Yessssssss,null,66,1,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/doctorspicey/status/1641578380523978752,@doctorspicey,https://twitter.com/doctorspicey,1680217759000,2023-03-30 23:9:19,Congrats 001 ,null,28,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/is_salsu/status/1641578398349705216,@is_salsu,https://twitter.com/is_salsu,1680217763000,2023-03-30 23:9:23,"CONGRATULATIONS DAVIDO 001

#TimelessAlbum",null,263,19,5,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/samoteli_/status/1641578453597028358,@samoteli_,https://twitter.com/samoteli_,1680217777000,2023-03-30 23:9:37,Congratulations davido,null,37,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/dr_nonsky/status/1641578565287174149,@dr_nonsky,https://twitter.com/dr_nonsky,1680217803000,2023-03-30 23:10:3,,null,60,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Cforchampionn/status/1641578651232747520,@Cforchampionn,https://twitter.com/Cforchampionn,1680217824000,2023-03-30 23:10:24,A good time to be alive ,null,38,1,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/LEWINSKl/status/1641578672804229120,@LEWINSKl,https://twitter.com/LEWINSKl,1680217829000,2023-03-30 23:10:29,Davido these vocals are vocaling. i’m hyped asf and i’m only on track #3 ,null,180,14,3,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/GustoTVAfrica/status/1641578826646843392,@GustoTVAfrica,https://twitter.com/GustoTVAfrica,1680217865000,2023-03-30 23:11:5,"Congrats, OBO! #Timeless is finally here. ",null,23,1,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Zamosings/status/1641579051050573824,@Zamosings,https://twitter.com/Zamosings,1680217919000,2023-03-30 23:11:59,Ori ADE!!!! ,null,24,1,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/SnehQueenBee/status/1641579257334824960,@SnehQueenBee,https://twitter.com/SnehQueenBee,1680217968000,2023-03-30 23:12:48,Congratulations Hero. I have found my favorite track already.  Timelessssssss,https://pbs.twimg.com/media/FsgPjN2X0Akl8Hw?format=jpg&name=small,600,36,12,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/RealDreylo/status/1641579436192460801,@RealDreylo,https://twitter.com/RealDreylo,1680218011000,2023-03-30 23:13:31,I’ve taken every other artiste off my playlist. Time to jam to only Davido till my ear piece cuts,null,152,5,3,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/EMMANUE77313321/status/1641579774236672001,@EMMANUE77313321,https://twitter.com/EMMANUE77313321,1680218091000,2023-03-30 23:14:51,,null,16,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/EyesNna/status/1641579870231617543,,https://twitter.com/EyesNna,1680218114000,2023-03-30 23:15:14,"@UBAGroup
 and 
@ZenithBank
 how long do u guys want to do business with the money 
@uka_ugochi
 withdraw that u declined and refused to return it?
What exactly do u want?",null,5,1,6,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/UBACares/status/1641725664964362242,@UBACares,https://twitter.com/UBACares,1680252874000,2023-03-31 8:54:34,"Hello 
@EyesNna
, kindly be informed that a response has been provided to you via DM. Thank you.",https://pbs.twimg.com/profile_images/1214190075086430210/Gbu6vPAm_bigger.jpg,1,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/OmegaXDreams/status/1641579900132794368,@OmegaXDreams,https://twitter.com/OmegaXDreams,1680218121000,2023-03-30 23:15:21,Congratulations!!!  #TimelessAlbum ,null,13,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/EMMANUE77313321/status/1641580039257849857,@EMMANUE77313321,https://twitter.com/EMMANUE77313321,1680218155000,2023-03-30 23:15:55,Welcome back OBO Baddest ,null,11,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/ImoPunter/status/1641580332838268929,@ImoPunter,https://twitter.com/ImoPunter,1680218225000,2023-03-30 23:17:5,Banger all Tracks  #TimelessAlbum  You Shepke this Album,null,44,4,2,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/princeshizzy14/status/1641593722189037568,@princeshizzy14,https://twitter.com/princeshizzy14,1680221417000,2023-03-31 0:10:17,"this album is a bomb  if u belive retweet am currently feeling unavailable and asake  over dem what is ur favorites guys 
@davido
",null,16,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/bashir_ashura/status/1641609235308982277,@bashir_ashura,https://twitter.com/bashir_ashura,1680225115000,2023-03-31 1:11:55,Congratulations Chief ,null,4,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Neyoog/status/1641628941013139456,@Neyoog,https://twitter.com/Neyoog,1680229814000,2023-03-31 2:30:14,,null,2,,,No,,,,
