vedio_url,comment_user,content,comment_time,like_count,dislike_count,reply_count,post_like_count,post_dislike_count,post_comment_count,CrawlTime
https://www.youtube.com/watch?v=JGyuMGK0yXk&list=OLAK5uy_mLBzyKhbG9yNsTXVMj0ruCwusJhUcc4JA,EM and M,This song is so underrated. People need to listen to in more,3 years ago,456,,7,77K,,274,1682966807841
https://www.youtube.com/watch?v=JGyuMGK0yXk&list=OLAK5uy_mLBzyKhbG9yNsTXVMj0ruCwusJhUcc4JA,Nirmiti,This song just gives you a warm nostalgic feeling. Like a hug from someone you thought you'd never see again. ,2 years ago (edited),65,,3,77K,,274,1682966808159
https://www.youtube.com/watch?v=JGyuMGK0yXk&list=OLAK5uy_mLBzyKhbG9yNsTXVMj0ruCwusJhUcc4JA,Nat Bywaters,This album got me through such a horrible time man. You are more amazing than I think even you know! <3,4 years ago,156,,1,77K,,274,1682966808466
https://www.youtube.com/watch?v=JGyuMGK0yXk&list=OLAK5uy_mLBzyKhbG9yNsTXVMj0ruCwusJhUcc4JA,yoongi is everywhere,I just miss those times when I listened to this song with only happy thoughts in my mind,3 years ago,480,,13,77K,,274,1682966808751
https://www.youtube.com/watch?v=JGyuMGK0yXk&list=OLAK5uy_mLBzyKhbG9yNsTXVMj0ruCwusJhUcc4JA,Ana clecia Rocha,Música linda ,3 years ago,38,,,77K,,274,1682966809046
https://www.youtube.com/watch?v=JGyuMGK0yXk&list=OLAK5uy_mLBzyKhbG9yNsTXVMj0ruCwusJhUcc4JA,Alexandre Cardoso,Tudo que é impossível existe na voz desse cantor ,3 years ago,8,,,77K,,274,1682966809346
https://www.youtube.com/watch?v=JGyuMGK0yXk&list=OLAK5uy_mLBzyKhbG9yNsTXVMj0ruCwusJhUcc4JA,Skyler Bargas,I’ve never been able to listen to an album and actually understand what the artist means. This album helped me write my story about one of the worst times in my life and helped me get through it. Thank you ed,3 years ago,24,,,77K,,274,1682966809605
https://www.youtube.com/watch?v=JGyuMGK0yXk&list=OLAK5uy_mLBzyKhbG9yNsTXVMj0ruCwusJhUcc4JA,shooky,Still one of my fave songs from Ed!,3 weeks ago,1,,,77K,,274,1682966809919
https://www.youtube.com/watch?v=JGyuMGK0yXk&list=OLAK5uy_mLBzyKhbG9yNsTXVMj0ruCwusJhUcc4JA,Alexandra Fuentes,Amo esta canción de verdad es muy bella :(,3 years ago,8,,1,77K,,274,1682966810185
https://www.youtube.com/watch?v=JGyuMGK0yXk&list=OLAK5uy_mLBzyKhbG9yNsTXVMj0ruCwusJhUcc4JA,Lara Gonçalves,Lyrics,1 month ago,5,,,77K,,274,1682966810516
https://www.youtube.com/watch?v=JGyuMGK0yXk&list=OLAK5uy_mLBzyKhbG9yNsTXVMj0ruCwusJhUcc4JA,Albierich Orozco,Esta canción me llega al alma,2 years ago,6,,,77K,,274,1682966810830
