vedio_url,comment_user,content,comment_time,like_count,dislike_count,reply_count,post_like_count,post_dislike_count,post_comment_count,CrawlTime
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,NatKhat Shady,Real Slim Shady is back again,4 years ago (edited),19K,,118,636K,,32K,1682966090697
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,Viggyy. exe,Rules while battling with EMINEM,2 years ago,13K,,132,636K,,32K,1682966091161
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,OfficialGrindin,He dropped this album when everyone missed his music. Mad respect.!!,2 years ago (edited),1.7K,,11,636K,,32K,1682966091468
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,xd Jason,FUN FACT : THIS SONG IS STILL LEGENDARY,1 year ago,931,,25,636K,,32K,1682966091811
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,Laura Lunar,"You're not famous because you're white, you're famous because you're the greatest lyricist of the rap game!",1 year ago,3.3K,,90,636K,,32K,1682966092077
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,AngelM2000,I can’t believe it’s already been 3 years since this masterpiece came out!! This was when Shady came back and started bodying everyone,1 year ago,715,,7,636K,,32K,1682966092347
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,Shank,My man won a 1v50 rap battle,2 years ago,15K,,226,636K,,32K,1682966092586
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,"clau ,","""I turned to rap cuz it made me feel tough when I wasn't""... now THAT line",2 years ago,3.8K,,14,636K,,32K,1682966092851
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,Ketsui,Nothing is faster than light ,2 years ago (edited),1.4K,,17,636K,,32K,1682966093254
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,camry_ car,"This really was Em's comeback, him vs everyone, absolutely insane! (also I think he never lost his skills)",1 year ago,246,,1,636K,,32K,1682966093701
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,oblivion,Imagine if this song existed back then and the people piloting the kamikaze heard this on the radio before they crashed,1 year ago (edited),841,,20,636K,,32K,1682966094066
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,Ahmad,Kamikaze (Official Music Audio) ,4 months ago,111,,9,636K,,32K,1682966094435
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,potatoe head,eminem raps faster then my internet speed,4 years ago,2.9K,,42,636K,,32K,1682966094777
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,Erin Krasniqi,"I can't believe it's been 4 years since this song got released, feels like yesterday. ",7 months ago,66,,,636K,,32K,1682966095111
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,Christoph Schnapp,"That bit at the end is soooooo good, ",2 years ago (edited),381,,4,636K,,32K,1682966095393
https://www.youtube.com/watch?v=FhF9RwkHAJw&list=OLAK5uy_nId4aStP-eFWiSYeOJGwcoty17mIZjW8A&index=2,Shurikenn,It is officially a tradition to randomly revisit Eminem’s songs and their respective comment sections.,1 year ago,592,,6,636K,,32K,1682966095580
