Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Time,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Retweet_or_not,Retweet_Original_Tweet_Content,Retweet_Original_Tweet_Poster,Retweet_Original_Tweet_Time,Retweet_Original_Tweet_PosterID
Post,,https://twitter.com/DUALIPA/status/1246055710988873729,https://twitter.com/DUALIPA/status/1246055710988873729/retweets,@DUALIPA,https://twitter.com/DUALIPA,1585917806000,2020-04-3 12:43:26,"The Future Nostalgia Experience is now LIVE ON 
@SPOTIFY
 
https://dualipa.co/futurenostalgiaexperience…",null,null,null,null,No,,,,
Post,,https://twitter.com/DUALIPA/status/1246055710988873729,https://twitter.com/MeeCrowWahVay/status/1246055829301796866,@MeeCrowWahVay,https://twitter.com/MeeCrowWahVay,1585917834000,2020-04-3 12:43:54,Queen of quality. 5sos wish,null,5,,1,No,,,,
Post,,https://twitter.com/DUALIPA/status/1246055710988873729,null,null,null,null,NaN-NaN-NaN NaN:NaN:NaN,null,null,null,null,null,No,,,,
Post,,https://twitter.com/DUALIPA/status/1246055710988873729,https://twitter.com/Spotify/status/1246086316258926593,@Spotify,https://twitter.com/Spotify,1585925103000,2020-04-3 14:45:3,One kiss is all it takes ,null,15,3,1,No,,,,
Post,,https://twitter.com/DUALIPA/status/1246055710988873729,https://twitter.com/graciesvinyl/status/1246055780303937536,,https://twitter.com/graciesvinyl,1585917823000,2020-04-3 12:43:43,yes yes yes,null,,,,No,,,,
Post,,https://twitter.com/DUALIPA/status/1246055710988873729,https://twitter.com/sourapplebaby/status/1246055785702064128,,https://twitter.com/sourapplebaby,1585917824000,2020-04-3 12:43:44,LOVE THAT,null,,,,No,,,,
Post,,https://twitter.com/DUALIPA/status/1246055710988873729,https://twitter.com/nyxjulia/status/1246055795705470976,,https://twitter.com/nyxjulia,1585917826000,2020-04-3 12:43:46,Yesss,null,,,,No,,,,
Post,,https://twitter.com/DUALIPA/status/1246055710988873729,https://twitter.com/perrysgraces/status/1246055816085401611,,https://twitter.com/perrysgraces,1585917831000,2020-04-3 12:43:51,YASSSSSS PERIODT,null,,,,No,,,,
Post,,https://twitter.com/DUALIPA/status/1246055710988873729,https://twitter.com/Spotify/status/1246083472265031680,@Spotify,https://twitter.com/Spotify,1585924425000,2020-04-3 14:33:45,Lights out follow the noise ,null,3,,,No,,,,
Post,,https://twitter.com/DUALIPA/status/1246055710988873729,https://twitter.com/finelinehst/status/1246055824713297920,,https://twitter.com/finelinehst,1585917833000,2020-04-3 12:43:53,I LOVE U,null,,,,No,,,,
