Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Time,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Retweet_or_not,Retweet_Original_Tweet_Content,Retweet_Original_Tweet_Poster,Retweet_Original_Tweet_Time,Retweet_Original_Tweet_PosterID
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/halsey/status/1215732285216944129/retweets,@halsey,https://twitter.com/halsey,1578688138000,2020-01-10 20:28:58,"u can listen to my new song “You should be sad” now  Manic is out 1 week from today!!!
http://halsey.lnk.to/YSBS",null,null,null,null,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/lohhtuz/status/1215733137663242240,@lohhtuz,https://twitter.com/lohhtuz,1578688341000,2020-01-10 20:32:21,So so good,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/exesincheck/status/1215732324249161728,,https://twitter.com/exesincheck,1578688147000,2020-01-10 20:29:7,iconic,null,5,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/Iadyblrd/status/1215732343186563074,,https://twitter.com/Iadyblrd,1578688152000,2020-01-10 20:29:12,we stan,null,2,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/requitelove/status/1215732361805037569,,https://twitter.com/requitelove,1578688156000,2020-01-10 20:29:16,ITS SO SEXY THQNK U,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/nhtuned/status/1215732369912729602,,https://twitter.com/nhtuned,1578688158000,2020-01-10 20:29:18,im so excited for manic,null,2,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/draculuura/status/1215732370239893512,,https://twitter.com/draculuura,1578688158000,2020-01-10 20:29:18,one week... SO SOON,null,3,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/maxspov/status/1215732370835267584,,https://twitter.com/maxspov,1578688159000,2020-01-10 20:29:19,invite me to ur album release thank u <3,null,2,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/xSophieo/status/1215732372395741185,,https://twitter.com/xSophieo,1578688159000,2020-01-10 20:29:19,REALLY I DIDNT KNOW,null,,,1,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/aureumnightmare/status/1215732378729111552,,https://twitter.com/aureumnightmare,1578688160000,2020-01-10 20:29:20,IM SO EXCITED I CANT WAIT!,null,16,1,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/buntybutera/status/1215732396269633537,,https://twitter.com/buntybutera,1578688165000,2020-01-10 20:29:25,MANIC IN ONE WEEK MY HEART IS BURSTING,null,,,1,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/exesincheck/status/1215732332834869249,,https://twitter.com/exesincheck,1578688150000,2020-01-10 20:29:10,beautiful,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/exesincheck/status/1215732340841824256,,https://twitter.com/exesincheck,1578688151000,2020-01-10 20:29:11,talented,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/chimmyself/status/1215732343681449984,,https://twitter.com/chimmyself,1578688152000,2020-01-10 20:29:12,,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/honeyjaxx/status/1215732348941025280,,https://twitter.com/honeyjaxx,1578688153000,2020-01-10 20:29:13,ahhh,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/nhtuned/status/1215732349981335553,,https://twitter.com/nhtuned,1578688154000,2020-01-10 20:29:14,I LOVE IT,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/girlvgod/status/1215732356834889728,,https://twitter.com/girlvgod,1578688155000,2020-01-10 20:29:15,wild,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/niamhfordd/status/1215732358671949826,,https://twitter.com/niamhfordd,1578688156000,2020-01-10 20:29:16,ily,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/r0sieg13/status/1215732360404176898,,https://twitter.com/r0sieg13,1578688156000,2020-01-10 20:29:16,So excited to see you in Manchester !,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/tradorjoes/status/1215732364162166784,,https://twitter.com/tradorjoes,1578688157000,2020-01-10 20:29:17,"maam , thanks for telling me to do IT AGAIN",null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/halseybabygirl/status/1215732364711587840,,https://twitter.com/halseybabygirl,1578688157000,2020-01-10 20:29:17,ITS SO GOOD,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/sIingbIade/status/1215732367249301505,,https://twitter.com/sIingbIade,1578688158000,2020-01-10 20:29:18,AHHHHHHHHHH,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/HALSEYSHEAVENs/status/1215732370776756224,,https://twitter.com/HALSEYSHEAVENs,1578688159000,2020-01-10 20:29:19,YALSEY,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/camimorronegf/status/1215732371712086016,,https://twitter.com/camimorronegf,1578688159000,2020-01-10 20:29:19,SO EXCITED,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/traditionkylee/status/1215732374492848139,,https://twitter.com/traditionkylee,1578688159000,2020-01-10 20:29:19,i’m so EXCITED,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/vintecarneiro/status/1215732378599141376,,https://twitter.com/vintecarneiro,1578688160000,2020-01-10 20:29:20,I LOVE YOUUUUUU,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/romanticpoetrry/status/1215732381077786625,,https://twitter.com/romanticpoetrry,1578688161000,2020-01-10 20:29:21,So damn excited,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/3am_darling/status/1215732382080303105,,https://twitter.com/3am_darling,1578688161000,2020-01-10 20:29:21,ONE WEEK FROM TODAY!!! how are you feeling miss halsey,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/trueluvariana/status/1215732384907382785,,https://twitter.com/trueluvariana,1578688162000,2020-01-10 20:29:22,,null,,,,No,,,,
