Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Time,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Retweet_or_not,Retweet_Original_Tweet_Content,Retweet_Original_Tweet_Poster,Retweet_Original_Tweet_Time,Retweet_Original_Tweet_PosterID
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/halsey/status/1218035958588698624/retweets,@halsey,https://twitter.com/halsey,1579237377000,2020-01-17 5:2:57,"The most torturing and beautiful wait of my life has come to an end. 

MANIC is out now. #manicthealbum

http://halsey.lnk.to/ManicTheAlbum",null,null,null,null,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/AllanRodae/status/1218036048380551168,@AllanRodae,https://twitter.com/AllanRodae,1579237398000,2020-01-17 5:3:18,,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/alyssaaaflip/status/1218036092705943553,@alyssaaaflip,https://twitter.com/alyssaaaflip,1579237409000,2020-01-17 5:3:29,So excited to listen from start to finish ,null,2,,1,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/ERICTHEINVENTOR/status/1218037377706446848,@ERICTHEINVENTOR,https://twitter.com/ERICTHEINVENTOR,1579237715000,2020-01-17 5:8:35,lets fucking go ,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/yisingkao/status/1218041338647601154,@yisingkao,https://twitter.com/yisingkao,1579238659000,2020-01-17 5:24:19,proud of you,https://pbs.twimg.com/profile_images/1646919608018821120/jSB0Kf1o_bigger.jpg,,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/TxrnadoSZN/status/1218204922593923074,@TxrnadoSZN,https://twitter.com/TxrnadoSZN,1579277661000,2020-01-17 16:14:21,"Killing Boys sounds like a duet with 
@AURORAmusic
  ",null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/peta/status/1218236048561623042,@peta,https://twitter.com/peta,1579285082000,2020-01-17 18:18:2,Congratulations on a beautiful piece of art  We love #manicthealbum so much!,null,15,,1,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/spillz4daze/status/1232829730530963456,@spillz4daze,https://twitter.com/spillz4daze,1582764487000,2020-02-27 0:48:7,"Yo, clementine ",null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/fkatyler/status/1218036000515076098,,https://twitter.com/fkatyler,1579237387000,2020-01-17 5:3:7,YES FOLLOW ME,null,2,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/overipepeaches/status/1218036009419575296,,https://twitter.com/overipepeaches,1579237389000,2020-01-17 5:3:9,SO PROUD OF YOU,null,9,,1,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/maroonexile/status/1218036013819420672,,https://twitter.com/maroonexile,1579237390000,2020-01-17 5:3:10,im sobbing,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/ringonmyphone/status/1218036015337787393,,https://twitter.com/ringonmyphone,1579237390000,2020-01-17 5:3:10,,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/iichliwptrack12/status/1218036017002770432,,https://twitter.com/iichliwptrack12,1579237391000,2020-01-17 5:3:11,WOOOOO,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/pisc3spiss/status/1218036027601887232,,https://twitter.com/pisc3spiss,1579237393000,2020-01-17 5:3:13,IM FUCKING CRYING,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/swtnrcherry/status/1218036030147682304,,https://twitter.com/swtnrcherry,1579237394000,2020-01-17 5:3:14,YES YES,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/3amsinterlude/status/1218036033692033024,,https://twitter.com/3amsinterlude,1579237395000,2020-01-17 5:3:15,IM SO FUCKING PROUD OF YOU,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/traditionkylee/status/1218036037244637184,,https://twitter.com/traditionkylee,1579237395000,2020-01-17 5:3:15,IM ALREADY IN LOVE,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/overipepeaches/status/1218036038700060672,,https://twitter.com/overipepeaches,1579237396000,2020-01-17 5:3:16,DO A FOLLOW SPREE ,null,6,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/doritheweirdo/status/1218036039140376576,,https://twitter.com/doritheweirdo,1579237396000,2020-01-17 5:3:16,you’re 3 minutes late,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/hilanard/status/1218036040625278977,,https://twitter.com/hilanard,1579237396000,2020-01-17 5:3:16,I WILL C TRY,null,,,1,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/ERICTHEINVENTOR/status/1218037377706446848,@ERICTHEINVENTOR,https://twitter.com/ERICTHEINVENTOR,1579237715000,2020-01-17 5:8:35,lets fucking go ,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/yisingkao/status/1218041338647601154,@yisingkao,https://twitter.com/yisingkao,1579238659000,2020-01-17 5:24:19,proud of you,https://pbs.twimg.com/profile_images/1646919608018821120/jSB0Kf1o_bigger.jpg,,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/TxrnadoSZN/status/1218204922593923074,@TxrnadoSZN,https://twitter.com/TxrnadoSZN,1579277661000,2020-01-17 16:14:21,"Killing Boys sounds like a duet with 
@AURORAmusic
  ",null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/peta/status/1218236048561623042,@peta,https://twitter.com/peta,1579285082000,2020-01-17 18:18:2,Congratulations on a beautiful piece of art  We love #manicthealbum so much!,null,15,,1,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/spillz4daze/status/1232829730530963456,@spillz4daze,https://twitter.com/spillz4daze,1582764487000,2020-02-27 0:48:7,"Yo, clementine ",null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/fkatyler/status/1218036000515076098,,https://twitter.com/fkatyler,1579237387000,2020-01-17 5:3:7,YES FOLLOW ME,null,2,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/overipepeaches/status/1218036009419575296,,https://twitter.com/overipepeaches,1579237389000,2020-01-17 5:3:9,SO PROUD OF YOU,null,9,,1,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/maroonexile/status/1218036013819420672,,https://twitter.com/maroonexile,1579237390000,2020-01-17 5:3:10,im sobbing,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/ringonmyphone/status/1218036015337787393,,https://twitter.com/ringonmyphone,1579237390000,2020-01-17 5:3:10,,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/iichliwptrack12/status/1218036017002770432,,https://twitter.com/iichliwptrack12,1579237391000,2020-01-17 5:3:11,WOOOOO,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/pisc3spiss/status/1218036027601887232,,https://twitter.com/pisc3spiss,1579237393000,2020-01-17 5:3:13,IM FUCKING CRYING,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/swtnrcherry/status/1218036030147682304,,https://twitter.com/swtnrcherry,1579237394000,2020-01-17 5:3:14,YES YES,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/3amsinterlude/status/1218036033692033024,,https://twitter.com/3amsinterlude,1579237395000,2020-01-17 5:3:15,IM SO FUCKING PROUD OF YOU,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/traditionkylee/status/1218036037244637184,,https://twitter.com/traditionkylee,1579237395000,2020-01-17 5:3:15,IM ALREADY IN LOVE,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/overipepeaches/status/1218036038700060672,,https://twitter.com/overipepeaches,1579237396000,2020-01-17 5:3:16,DO A FOLLOW SPREE ,null,6,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/doritheweirdo/status/1218036039140376576,,https://twitter.com/doritheweirdo,1579237396000,2020-01-17 5:3:16,you’re 3 minutes late,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/hilanard/status/1218036040625278977,,https://twitter.com/hilanard,1579237396000,2020-01-17 5:3:16,I WILL C TRY,null,,,1,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/ellieliima/status/1218036043032608770,,https://twitter.com/ellieliima,1579237397000,2020-01-17 5:3:17,love you forever.,null,13,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/wrote100letters/status/1218036044475568128,,https://twitter.com/wrote100letters,1579237397000,2020-01-17 5:3:17,STOP IM CRYING AND IM ON THE FIRST SONG,null,2,1,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/notconorr/status/1218036045675139073,,https://twitter.com/notconorr,1579237397000,2020-01-17 5:3:17,we are streaming! #manicthealbum,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/aureumnightmare/status/1218036049814966272,,https://twitter.com/aureumnightmare,1579237398000,2020-01-17 5:3:18,HOLY FUCK HSJSJSJS,null,19,1,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/meg4444rose/status/1218036056655835136,,https://twitter.com/meg4444rose,1579237400000,2020-01-17 5:3:20,SO PROUD OF YOU I LOOOOVE YOUUUU #manicthealbum,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/sharksinthemall/status/1218036056831885312,,https://twitter.com/sharksinthemall,1579237400000,2020-01-17 5:3:20,listening rn i’m close to tears already,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/chloexhopeless/status/1218036062838067202,,https://twitter.com/chloexhopeless,1579237402000,2020-01-17 5:3:22,omg ITS FINALLY HAPPENING,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/heartskippin/status/1218036063471534080,,https://twitter.com/heartskippin,1579237402000,2020-01-17 5:3:22,so so so so insanely proud of you,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/broswiftie13/status/1218036064050270208,,https://twitter.com/broswiftie13,1579237402000,2020-01-17 5:3:22,SO PROUD OF YOU,null,2,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/Gobeyyyyy/status/1218036064847384576,,https://twitter.com/Gobeyyyyy,1579237402000,2020-01-17 5:3:22,THANK. YOU.,null,2,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/intobIue/status/1218036067380498433,,https://twitter.com/intobIue,1579237403000,2020-01-17 5:3:23,i am so fucking proud of you,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/rllyjisoo/status/1218036070400413701,,https://twitter.com/rllyjisoo,1579237403000,2020-01-17 5:3:23,TALK BOUT MORE PLS I LOVE HER,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/dishakk_/status/1218036073001033730,,https://twitter.com/dishakk_,1579237404000,2020-01-17 5:3:24,NICE TO MEET YOU AGAIN ASHLEY,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/tristaalisha/status/1218036075752493056,,https://twitter.com/tristaalisha,1579237405000,2020-01-17 5:3:25,I AM IN LOVE ALREADY MOT EVEN DONE WITH ASHLEY,null,12,,2,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/exesincheck/status/1218036076280832000,,https://twitter.com/exesincheck,1579237405000,2020-01-17 5:3:25,SO OROUD,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/MarissaEstelle/status/1218036081154777090,,https://twitter.com/MarissaEstelle,1579237406000,2020-01-17 5:3:26,STREAMING NOW SIS,https://pbs.twimg.com/media/EOdVW4uXUAEUsxr?format=jpg&name=900x900,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/yoreecechill/status/1218036083360854017,,https://twitter.com/yoreecechill,1579237406000,2020-01-17 5:3:26,i’m already SOBBING,null,2,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/KarlaxGomez/status/1218036086825504768,,https://twitter.com/KarlaxGomez,1579237407000,2020-01-17 5:3:27,IM CRYING AND IM ON THE FIRST SONG ASHLEY!!!,null,1,,,No,,,,
Post,,https://twitter.com/halsey/status/1218035958588698624,https://twitter.com/IamNichlas/status/1218036089228857344,,https://twitter.com/IamNichlas,1579237408000,2020-01-17 5:3:28,OOOFMSY. UWUWUWUWU I POVE,null,1,,,No,,,,
