Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Time,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Retweet_or_not,Retweet_Original_Tweet_Content,Retweet_Original_Tweet_Poster,Retweet_Original_Tweet_Time,Retweet_Original_Tweet_PosterID
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/thekillers/status/1296225558976532480/retweets,@thekillers,https://twitter.com/thekillers,1597879230000,2020-08-19 23:20:30,"Here are the facts. Imploding the Mirage is less than 24 hours away, but first the Youtube world premiere for the new “My Own Souls Warning” music video. 

We’ll be on IG Live tomorrow at 10AM PST, then chatting with you at 10:30AM PST on our Youtube Premiere Page. Link in bio.",null,null,null,null,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/NoahWeygandt/status/1296225662458462208,,https://twitter.com/NoahWeygandt,1597879255000,2020-08-19 23:20:55,NO WAY,null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/Christianfg08/status/1296225714723852289,,https://twitter.com/Christianfg08,1597879267000,2020-08-19 23:21:7,Awesome!!!!!,null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/DustlandFlowers/status/1296225717630332928,,https://twitter.com/DustlandFlowers,1597879268000,2020-08-19 23:21:8,KINGS! I CAN'T WAIT ,null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/tk2020br/status/1296225769744666625,,https://twitter.com/tk2020br,1597879280000,2020-08-19 23:21:20,"stop feeding us so much, I'm full

then again, how about a Q&A?",null,12,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/morphtosomeone/status/1296225774840811526,,https://twitter.com/morphtosomeone,1597879282000,2020-08-19 23:21:22,thanks guys,null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/SellersTonys/status/1296225796349198338,,https://twitter.com/SellersTonys,1597879287000,2020-08-19 23:21:27,Best band in the world can’t wait,null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/plissty/status/1296225801894068227,,https://twitter.com/plissty,1597879288000,2020-08-19 23:21:28,"Como assim meu filho, dois clipes?",null,3,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/Artaxdani/status/1296225869342691330,,https://twitter.com/Artaxdani,1597879304000,2020-08-19 23:21:44,  !!,null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/camilosokka/status/1296225885926952960,,https://twitter.com/camilosokka,1597879308000,2020-08-19 23:21:48,YASSSSSS!!!,null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/MarianaChaplin/status/1296225891119435776,,https://twitter.com/MarianaChaplin,1597879309000,2020-08-19 23:21:49,,null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/hazcraig16/status/1296225913319956480,,https://twitter.com/hazcraig16,1597879315000,2020-08-19 23:21:55,You’re spoiling us,null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/christa42/status/1296225939395883008,,https://twitter.com/christa42,1597879321000,2020-08-19 23:22:1,"Needed this,thank you ",null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/JaredClarksonPR/status/1296226020320780290,,https://twitter.com/JaredClarksonPR,1597879340000,2020-08-19 23:22:20,If you want I could watch it now really quick just to make sure there are no issues. Just DM me the link.,null,5,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/andieem98/status/1296226038394036226,,https://twitter.com/andieem98,1597879344000,2020-08-19 23:22:24,,null,10,,,Yes,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/brandivaflowers/status/1296226137471762432,,https://twitter.com/brandivaflowers,1597879368000,2020-08-19 23:22:48,LOS AMOOOOO ,null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/tk2020br/status/1296226279113527296,,https://twitter.com/tk2020br,1597879402000,2020-08-19 23:23:22,"can't believe you actuall knew the original music video was not worthy

thank you daddy",null,31,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296225558976532480,https://twitter.com/mdub104/status/1296226294150168577,,https://twitter.com/mdub104,1597879405000,2020-08-19 23:23:25,Any deluxe sets or colored vinyls planned or just the regular?,null,,,,No,,,,
