Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Time,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Retweet_or_not,Retweet_Original_Tweet_Content,Retweet_Original_Tweet_Poster,Retweet_Original_Tweet_Time,Retweet_Original_Tweet_PosterID
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/thekillers/status/1296825571561705474/retweets,@thekillers,https://twitter.com/thekillers,1598022284000,2020-08-21 15:4:44,Imploding the Mirage is out now. Listen here: http://thekillers.lnk.to/Imploding-The-Mirage…,null,null,null,null,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/Tendraftsdeep/status/1296836361249595393,@Tendraftsdeep,https://twitter.com/Tendraftsdeep,1598024857000,2020-08-21 15:47:37,"Great album, arguably your best in over 10 years.",null,1,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/soonergridiron/status/1296906933887270914,@soonergridiron,https://twitter.com/soonergridiron,1598041683000,2020-08-21 20:28:3,null,null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/implodedromance/status/1296825660250509319,,https://twitter.com/implodedromance,1598022305000,2020-08-21 15:5:5,LEGENDS,https://pbs.twimg.com/ext_tw_video_thumb/1245857343033749506/pu/img/iQEoRmYvxYul8gP-.jpg,53,7,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/debrabrown_/status/1296825718450663425,,https://twitter.com/debrabrown_,1598022319000,2020-08-21 15:5:19,Arrived today. ,https://pbs.twimg.com/media/Ef9AHhxXsAk_sPj?format=jpg&name=small,33,,4,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/thecrestedrose/status/1296825832728600582,,https://twitter.com/thecrestedrose,1598022347000,2020-08-21 15:5:47,ALBUM OF THE YEAR,https://pbs.twimg.com/card_img/1651490352321245186/1GHghq-6?format=jpg&name=240x240,15,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/thecrestedrose/status/1296825887854338048,,https://twitter.com/thecrestedrose,1598022360000,2020-08-21 15:6:0,YOUR BEST SINCE SAM'S TOWN,https://pbs.twimg.com/card_img/1651490352321245186/1GHghq-6?format=jpg&name=240x240,23,,1,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/proseccopunch/status/1296825904224641026,,https://twitter.com/proseccopunch,1598022364000,2020-08-21 15:6:4,Congratulations on the new album!!! Really really good stuff!!!! 10/10 BANGERS!! ,null,6,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/JaredClarksonPR/status/1296825985199988738,,https://twitter.com/JaredClarksonPR,1598022383000,2020-08-21 15:6:23,The Killers dropping #ImplodingTheMirage,null,8,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/dickless99boy/status/1296825995123712001,,https://twitter.com/dickless99boy,1598022385000,2020-08-21 15:6:25,Grammys here we go,null,5,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/saracal94670866/status/1296826011594760193,,https://twitter.com/saracal94670866,1598022389000,2020-08-21 15:6:29,It’s fantastic.  Been listening to it all day.  Love the album version of Blowback even more than the acoustic version you did on CBS and I didn’t think that was possible,null,7,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/humanransomnot3/status/1296826052854124545,,https://twitter.com/humanransomnot3,1598022399000,2020-08-21 15:6:39,null,https://pbs.twimg.com/media/Ef9AZfvXsAApa7_?format=jpg&name=small,195,29,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/tkillersmusic/status/1296826134223622145,,https://twitter.com/tkillersmusic,1598022418000,2020-08-21 15:6:58,ANTHEM AFTER ANTHEM. ,null,22,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/thecrestedrose/status/1296826162954600450,,https://twitter.com/thecrestedrose,1598022425000,2020-08-21 15:7:5,THE BEST YOU'VE BEEN IN A DECADE,null,31,6,2,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/flowersrbrandon/status/1296826189471002627,,https://twitter.com/flowersrbrandon,1598022432000,2020-08-21 15:7:12,yes indeed,null,25,7,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/killershistory/status/1296826232739377157,,https://twitter.com/killershistory,1598022442000,2020-08-21 15:7:22,"Yeah. It’s alright*

*spectacular *beautiful *astounding *staggering *breathtaking *remarkable *outstanding",null,59,1,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/melinaaesquivel/status/1296825619548983297,,https://twitter.com/melinaaesquivel,1598022296000,2020-08-21 15:4:56,los amooo,null,,,,No,,,,
Post,,https://twitter.com/thekillers/status/1296825571561705474,https://twitter.com/Wertz53/status/1296825627757117447,,https://twitter.com/Wertz53,1598022298000,2020-08-21 15:4:58,masterpiece.,null,,,,No,,,,
