Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Time,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Retweet_or_not,Retweet_Original_Tweet_Content,Retweet_Original_Tweet_Poster,Retweet_Original_Tweet_Time,Retweet_Original_Tweet_PosterID
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/theweeknd/status/1241061569976365057/retweets,@theweeknd,https://twitter.com/theweeknd,1584727110000,2020-03-20 17:58:30,#AfterHours,null,null,null,null,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/Zacharyhenry/status/1241061657897365509,@Zacharyhenry,https://twitter.com/Zacharyhenry,1584727131000,2020-03-20 17:58:51,GOAT!,null,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/_CULLI_/status/1241062049301626881,@_CULLI_,https://twitter.com/_CULLI_,1584727225000,2020-03-20 18:0:25,Did it again bro. This project is a masterpiece. Just in time. Thank you ,null,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/HipHopNumbers/status/1241074477347131392,@HipHopNumbers,https://twitter.com/HipHopNumbers,1584730188000,2020-03-20 18:49:48,"Abel is Vulnerable, Humble & Lonely

% of Abel's Lyrics
63% - Relationship Breakdown
45% - Loneliness/Isolation
34% - Self-Critical
19% - Depression/Pain
10% - Drugs

After Hours is layered and deep don't sleep",null,718,60,4,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/ram_dezin/status/1241096112297193473,@ram_dezin,https://twitter.com/ram_dezin,1584735346000,2020-03-20 20:15:46,,https://pbs.twimg.com/media/ETlCVRKWoAAsDsh?format=jpg&name=small,2,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/luvisbud/status/1241108848943009794,@luvisbud,https://twitter.com/luvisbud,1584738382000,2020-03-20 21:6:22,Xo,null,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/harvmcm/status/1241128118041096192,@harvmcm,https://twitter.com/harvmcm,1584742977000,2020-03-20 22:22:57,"@theweeknd
",https://pbs.twimg.com/profile_images/1559252178069557259/jeQy7lG3_mini.jpg,2,1,,Yes,"First attempt at digital art on an iPad with a cartoony Abel, ‘Blinded’",harv,"Mar 20, 2020",@harvmcm
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/mickeyl2300/status/1241172895512092672,@mickeyl2300,https://twitter.com/mickeyl2300,1584753652000,2020-03-21 1:20:52,I try last night and today Apple Music don’t let me download the album,https://pbs.twimg.com/media/ETmIKl6WAAMWhn8?format=jpg&name=900x900,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/_centomontana/status/1241334246167502848,@_centomontana,https://twitter.com/_centomontana,1584792121000,2020-03-21 12:2:1,,null,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/prettyygirlz/status/1241061611554476032,,https://twitter.com/prettyygirlz,1584727120000,2020-03-20 17:58:40,mood,null,11,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/daddycito_/status/1241061620819939330,,https://twitter.com/daddycito_,1584727122000,2020-03-20 17:58:42,me RN,null,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/jminielvr/status/1241061624317968384,,https://twitter.com/jminielvr,1584727123000,2020-03-20 17:58:43,LOVE U,null,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/Garrett_814/status/1241061625727197184,,https://twitter.com/Garrett_814,1584727124000,2020-03-20 17:58:44,King.,null,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/oscvrr_/status/1241061625966276608,,https://twitter.com/oscvrr_,1584727124000,2020-03-20 17:58:44,KINGG,null,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/pray4lve/status/1241061631444094977,,https://twitter.com/pray4lve,1584727125000,2020-03-20 17:58:45,MOOOOOOOOD,null,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/SHEISTESFAYE/status/1241061636728897541,,https://twitter.com/SHEISTESFAYE,1584727126000,2020-03-20 17:58:46,fr,null,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/razkolnikovj/status/1241061636972175362,,https://twitter.com/razkolnikovj,1584727126000,2020-03-20 17:58:46,ja inderdaad,null,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/KingofFall723/status/1241061641132761088,,https://twitter.com/KingofFall723,1584727127000,2020-03-20 17:58:47,Weeknd help,null,,,,No,,,,
Post,,https://twitter.com/theweeknd/status/1241061569976365057,https://twitter.com/NolanZone/status/1241061641728462849,,https://twitter.com/NolanZone,1584727127000,2020-03-20 17:58:47,null,https://pbs.twimg.com/media/ETki-5nWkAA_Efw?format=jpg&name=small,258,30,3,No,,,,
