,Tweet_Website,Author_Web_Page_URL,Tweet_Time,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Artist,hashtags,users,Type,Sentiment
0,https://twitter.com/davido/status/1641577352453844992/retweets,https://twitter.com/davido,2023-03-30 23:5:14,long last back journey last album album whirlwind say least recall sitting staring ocean long ago wondering could get love support made,,,,Davido,[],davido,post-release,Positive
1,https://twitter.com/davido/status/1641577922090745863,https://twitter.com/davido,2023-03-30 23:7:30,sure comes wanted give heart soul energy today present timeless many people thank helped make happen first must send special thank strongest woman know thechefchi,36K,"6,685",769.0,Davido,[],davido,post-release,Positive
2,https://twitter.com/davido/status/1641578004399681537,https://twitter.com/davido,2023-03-30 23:7:49,thank thank thank supporters love enjoy see road soon,27.7K,"5,582",804.0,Davido,[],davido,post-release,Positive
3,https://twitter.com/EmareyoRoyal/status/1641577465905651714,https://twitter.com/EmareyoRoyal,2023-03-30 23:5:41,time,69,2,2.0,Davido,[],EmareyoRoyal,post-release,Neutral
4,https://twitter.com/___AYO_/status/1641577474315132929,https://twitter.com/___AYO_,2023-03-30 23:5:43,baddest,87,1,2.0,Davido,[],___AYO_,post-release,Neutral
5,https://twitter.com/ChristDeKing/status/1641577510474338305,https://twitter.com/ChristDeKing,2023-03-30 23:5:52,obo let us go follow guys,28,,2.0,Davido,[],ChristDeKing,post-release,Neutral
6,https://twitter.com/EmmyCruz123/status/1641577522323234816,https://twitter.com/EmmyCruz123,2023-03-30 23:5:55,shekpe,79,1,1.0,Davido,[],EmmyCruz123,post-release,Neutral
7,https://twitter.com/x1unkwn/status/1641577656364744704,https://twitter.com/x1unkwn,2023-03-30 23:6:26,big david never disappoints,35,,1.0,Davido,[],x1unkwn,post-release,Positive
8,https://twitter.com/Mbahdeyforyou/status/1641577868516904965,https://twitter.com/Mbahdeyforyou,2023-03-30 23:7:17,baddest,300,20,6.0,Davido,[],Mbahdeyforyou,post-release,Neutral
9,https://twitter.com/abdulkarerm_m/status/1641577966327984130,https://twitter.com/abdulkarerm_m,2023-03-30 23:7:40,best album ever cap,149,12,13.0,Davido,[],abdulkarerm_m,post-release,Positive
10,https://twitter.com/OhakweHowler/status/1641578043545202690,https://twitter.com/OhakweHowler,2023-03-30 23:7:59,ifb,33,,1.0,Davido,[],OhakweHowler,post-release,Neutral
11,https://twitter.com/Shawnifee/status/1641578044761554946,https://twitter.com/Shawnifee,2023-03-30 23:7:59,good back king time enjoy good music,242,9,4.0,Davido,[],Shawnifee,post-release,Positive
12,https://twitter.com/dammiedammie35/status/1641578334017519617,https://twitter.com/dammiedammie35,2023-03-30 23:9:8,yes,66,1,,Davido,[],dammiedammie35,post-release,Positive
13,https://twitter.com/doctorspicey/status/1641578380523978752,https://twitter.com/doctorspicey,2023-03-30 23:9:19,congrats,28,,1.0,Davido,[],doctorspicey,post-release,Positive
14,https://twitter.com/is_salsu/status/1641578398349705216,https://twitter.com/is_salsu,2023-03-30 23:9:23,congratulations davido timelessalbum,263,19,5.0,Davido,['#timelessalbum'],is_salsu,post-release,Positive
15,https://twitter.com/samoteli_/status/1641578453597028358,https://twitter.com/samoteli_,2023-03-30 23:9:37,congratulations davido,37,,,Davido,[],samoteli_,post-release,Positive
16,https://twitter.com/Cforchampionn/status/1641578651232747520,https://twitter.com/Cforchampionn,2023-03-30 23:10:24,good time alive,38,1,,Davido,[],Cforchampionn,post-release,Positive
17,https://twitter.com/LEWINSKl/status/1641578672804229120,https://twitter.com/LEWINSKl,2023-03-30 23:10:29,davido vocals vocaling hyped asf track,180,14,3.0,Davido,['#3'],LEWINSKl,post-release,Neutral
18,https://twitter.com/GustoTVAfrica/status/1641578826646843392,https://twitter.com/GustoTVAfrica,2023-03-30 23:11:5,congrats obo timeless finally,23,1,,Davido,['#timeless'],GustoTVAfrica,post-release,Positive
19,https://twitter.com/Zamosings/status/1641579051050573824,https://twitter.com/Zamosings,2023-03-30 23:11:59,ori ade,24,1,,Davido,[],Zamosings,post-release,Neutral
20,https://twitter.com/SnehQueenBee/status/1641579257334824960,https://twitter.com/SnehQueenBee,2023-03-30 23:12:48,congratulations hero found favorite track already timeles,600,36,12.0,Davido,[],SnehQueenBee,post-release,Positive
21,https://twitter.com/RealDreylo/status/1641579436192460801,https://twitter.com/RealDreylo,2023-03-30 23:13:31,taken every artiste playlist time jam davido till ear piece cuts,152,5,3.0,Davido,[],RealDreylo,post-release,Negative
22,https://twitter.com/EyesNna/status/1641579870231617543,https://twitter.com/EyesNna,2023-03-30 23:15:14,ubagroup zenithbank long guys want business money uka ugochi withdraw declined refused return exactly want,5,1,6.0,Davido,[],EyesNna,post-release,Negative
23,https://twitter.com/UBACares/status/1641725664964362242,https://twitter.com/UBACares,2023-03-31 8:54:34,hello eyesnna kindly informed response provided via dm thank,1,,,Davido,[],UBACares,post-release,Positive
24,https://twitter.com/OmegaXDreams/status/1641579900132794368,https://twitter.com/OmegaXDreams,2023-03-30 23:15:21,congratulations timelessalbum,13,,,Davido,['#timelessalbum'],OmegaXDreams,post-release,Positive
25,https://twitter.com/EMMANUE77313321/status/1641580039257849857,https://twitter.com/EMMANUE77313321,2023-03-30 23:15:55,welcome back obo baddest,11,,,Davido,[],EMMANUE77313321,post-release,Positive
26,https://twitter.com/ImoPunter/status/1641580332838268929,https://twitter.com/ImoPunter,2023-03-30 23:17:5,banger tracks timelessalbum shepke album,44,4,2.0,Davido,['#timelessalbum'],ImoPunter,post-release,Neutral
27,https://twitter.com/princeshizzy14/status/1641593722189037568,https://twitter.com/princeshizzy14,2023-03-31 0:10:17,album bomb belive retweet currently feeling unavailable asake dem favorites guys davido,16,,,Davido,[],princeshizzy14,post-release,Neutral
28,https://twitter.com/bashir_ashura/status/1641609235308982277,https://twitter.com/bashir_ashura,2023-03-31 1:11:55,congratulations chief,4,,,Davido,[],bashir_ashura,post-release,Positive
29,https://twitter.com/kongkode1/status/1641649565815152641,https://twitter.com/kongkode1,2023-03-31 3:52:11,congratulations obo,2,,,Davido,[],kongkode1,post-release,Positive
30,https://twitter.com/MrBerry_S/status/1641664215063711747,https://twitter.com/MrBerry_S,2023-03-31 4:50:24,apple nig top yet smh,2,,,Davido,[],MrBerry_S,post-release,Negative
31,https://twitter.com/bethelanunihu/status/1641675713324433409,https://twitter.com/bethelanunihu,2023-03-31 5:36:5,baddest,2,,,Davido,[],bethelanunihu,post-release,Neutral
32,https://twitter.com/gbenga_akinyem/status/1641688090891747333,https://twitter.com/gbenga_akinyem,2023-03-31 6:25:16,grace david,2,,,Davido,[],gbenga_akinyem,post-release,Positive
33,https://twitter.com/namaworldrecord/status/1641700840242044928,https://twitter.com/namaworldrecord,2023-03-31 7:15:56,nice one,,,,Davido,[],namaworldrecord,post-release,Positive
34,https://twitter.com/official_jerry3/status/1641714862320496641,https://twitter.com/official_jerry3,2023-03-31 8:11:39,ubacares ubagroup make una refund money na,1,1,2.0,Davido,[],official_jerry3,post-release,Neutral
35,https://twitter.com/UBACares/status/1641932274840092673,https://twitter.com/UBACares,2023-03-31 22:35:34,hello official please note message emanate uba staff rather handwork online impostors scammers intents defraud advise ignore respond interest thank,,,1.0,Davido,[],UBACares,post-release,Positive
36,https://twitter.com/DHanson20/status/1641725848213495810,https://twitter.com/DHanson20,2023-03-31 8:55:18,masterpiece,1,,,Davido,[],DHanson20,post-release,Positive
37,https://twitter.com/tosynakins/status/1641744876692709377,https://twitter.com/tosynakins,2023-03-31 10:10:55,think ever loved musician way love guy happy back,2,,,Davido,[],tosynakins,post-release,Positive
38,https://twitter.com/Mayo_Enny/status/1641747847673413632,https://twitter.com/Mayo_Enny,2023-03-31 10:22:43,opay ng need help changing name original name,,,1.0,Davido,[],Mayo_Enny,post-release,Positive
39,https://twitter.com/OPay_NG/status/1642144612956479489,https://twitter.com/OPay_NG,2023-04-1 12:39:19,thank contacting opay apologize experience please informed unable access dm kindly review restriction setting enable us engage,,,,Davido,[],OPay_NG,post-release,Positive
40,https://twitter.com/covenanteabia/status/1641750549547610112,https://twitter.com/covenanteabia,2023-03-31 10:33:27,ubagroup ubacares please attend transaction refund money two weeks gotten refund davido album trump,,2,3.0,Davido,"['#davido', '#album', '#trump']",covenanteabia,post-release,Positive
41,https://twitter.com/UBACares/status/1641923862248996865,https://twitter.com/UBACares,2023-03-31 22:2:8,hello abiacovenant please note whatsapp number emanate uba strongly advise desist forms communication impostor best interest avoid victim fraud scam,,,,Davido,[],UBACares,post-release,Neutral
42,https://twitter.com/Swagghood_co/status/1641779950125555716,https://twitter.com/Swagghood_co,2023-03-31 12:30:17,world baby,,,,Davido,[],Swagghood_co,post-release,Neutral
43,https://twitter.com/yulisa_ahmadu/status/1641797592299470848,https://twitter.com/yulisa_ahmadu,2023-03-31 13:40:23,probably best album coming africa year congrats davido,,,,Davido,[],yulisa_ahmadu,post-release,Positive
44,https://twitter.com/Enoch00000000/status/1641823551115124739,https://twitter.com/Enoch00000000,2023-03-31 15:23:32,one love,,,,Davido,[],Enoch00000000,post-release,Positive
45,https://twitter.com/Rx_Sadiq/status/1641871771895750673,https://twitter.com/Rx_Sadiq,2023-03-31 18:35:9,ubagroup also pos declined debited transaction since march suffering one branch another nothing done please return money sometimes prefer using online bank respond better,,,1.0,Davido,[],Rx_Sadiq,post-release,Negative
46,https://twitter.com/UBACares/status/1641988422649757697,https://twitter.com/UBACares,2023-04-1 2:18:41,hello rx sadiq kindly informed response provided via dm thank,,,,Davido,[],UBACares,post-release,Positive
47,https://twitter.com/mz_tonyaa/status/1641891633061941252,https://twitter.com/mz_tonyaa,2023-03-31 19:54:4,ubacares ubagroup two people sent money account since yesterday yet reflect mine debited please help,,,1.0,Davido,[],mz_tonyaa,post-release,Positive
