,Tweet_Website,Author_Web_Page_URL,Tweet_Time,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Artist,hashtags,users,Type,Sentiment
0,https://twitter.com/davido/status/1641138979545153540/retweets,https://twitter.com/davido,2023-03-29 18:3:18,almost time bring official tracklist upcoming album timeless spotify get ready spotify spotifyafrica spotifyuk,,,,Davido,['#timeless'],davido,pre-release,Positive
1,https://twitter.com/ImoPunter/status/1641139066606440449,https://twitter.com/ImoPunter,2023-03-29 18:3:39,one davido,42.0,2.0,3.0,Davido,[],ImoPunter,pre-release,Neutral
2,https://twitter.com/REAL_OKIEMUTINI/status/1641139081085165568,https://twitter.com/REAL_OKIEMUTINI,2023-03-29 18:3:42,yes,23.0,,2.0,Davido,[],REAL_OKIEMUTINI,pre-release,Positive
3,https://twitter.com/Devil30BG/status/1641139103696551941,https://twitter.com/Devil30BG,2023-03-29 18:3:47,one cares fell lil bro,7.0,1.0,13.0,Davido,[],Devil30BG,pre-release,Positive
4,https://twitter.com/Danny53876/status/1641139528302723072,https://twitter.com/Danny53876,2023-03-29 18:5:29,comot yb pic dp day mad,,,1.0,Davido,[],Danny53876,pre-release,Negative
5,https://twitter.com/LEWINSKl/status/1641139295892406272,https://twitter.com/LEWINSKl,2023-03-29 18:4:33,engage tweet excited davido drop new album,228.0,20.0,6.0,Davido,[],LEWINSKl,pre-release,Positive
6,https://twitter.com/Deribb/status/1641139635228114955,https://twitter.com/Deribb,2023-03-29 18:5:54,baddest,6.0,,,Davido,[],Deribb,pre-release,Neutral
7,https://twitter.com/Mbahdeyforyou/status/1641140064838098944,https://twitter.com/Mbahdeyforyou,2023-03-29 18:7:37,bring,130.0,4.0,1.0,Davido,[],Mbahdeyforyou,pre-release,Neutral
8,https://twitter.com/ZeekiHodl/status/1641140651164041228,https://twitter.com/ZeekiHodl,2023-03-29 18:9:56,biggest album world dropping less hours davido greatest timeless,248.0,32.0,3.0,Davido,[],ZeekiHodl,pre-release,Positive
9,https://twitter.com/sirfrancisdubem/status/1641140979494277123,https://twitter.com/sirfrancisdubem,2023-03-29 18:11:15,beating hear music go mad,1.0,,,Davido,[],sirfrancisdubem,pre-release,Negative
10,https://twitter.com/mistaremi/status/1641141122880635198,https://twitter.com/mistaremi,2023-03-29 18:11:49,go timeless,60.0,2.0,,Davido,[],mistaremi,pre-release,Neutral
11,https://twitter.com/Danny53876/status/1641141199997116417,https://twitter.com/Danny53876,2023-03-29 18:12:7,go stream album idolo,,,,Davido,[],Danny53876,pre-release,Neutral
12,https://twitter.com/michaelbanksfx/status/1641142187294433281,https://twitter.com/michaelbanksfx,2023-03-29 18:16:3,obo reason,19.0,,1.0,Davido,[],michaelbanksfx,pre-release,Neutral
13,https://twitter.com/R0VIEL/status/1641142556216918036,https://twitter.com/R0VIEL,2023-03-29 18:17:31,already pick favorite album let us go,18.0,,,Davido,[],R0VIEL,pre-release,Positive
14,https://twitter.com/tosynakins/status/1641143318032547848,https://twitter.com/tosynakins,2023-03-29 18:20:32,let us fucking go,1.0,,,Davido,[],tosynakins,pre-release,Neutral
15,https://twitter.com/adetomiiwa/status/1641143464875130888,https://twitter.com/adetomiiwa,2023-03-29 18:21:7,obo x angelique kidjo,27.0,,4.0,Davido,[],adetomiiwa,pre-release,Neutral
16,https://twitter.com/SpotifyAfrica/status/1641143464992690176,https://twitter.com/SpotifyAfrica,2023-03-29 18:21:7,well folks finally happening timeless,422.0,74.0,11.0,Davido,['#timeless'],SpotifyAfrica,pre-release,Positive
17,https://twitter.com/CasiusClayy/status/1641143585780137990,https://twitter.com/CasiusClayy,2023-03-29 18:21:36,davido x skepta,3.0,,1.0,Davido,[],CasiusClayy,pre-release,Neutral
18,https://twitter.com/sureboi022/status/1641145531823947798,https://twitter.com/sureboi022,2023-03-29 18:29:20,waiting danieregha comment,,,,Davido,[],sureboi022,pre-release,Neutral
19,https://twitter.com/Den_Nis3625/status/1641145698853715977,https://twitter.com/Den_Nis3625,2023-03-29 18:30:0,savevidbot,1.0,,1.0,Davido,[],Den_Nis3625,pre-release,Neutral
20,https://twitter.com/SaveVidBot/status/1641146253722669056,https://twitter.com/SaveVidBot,2023-03-29 18:32:12,yoo den hey chief set download url respond check personal video page cheers,1.0,,,Davido,[],SaveVidBot,pre-release,Positive
21,https://twitter.com/KhaleedSZN_/status/1641146366515707905,https://twitter.com/KhaleedSZN_,2023-03-29 18:32:39,eat,7.0,,,Davido,[],KhaleedSZN_,pre-release,Neutral
22,https://twitter.com/147Damilare/status/1641146687224725504,https://twitter.com/147Damilare,2023-03-29 18:33:55,oriade oga ti wa,30.0,1.0,,Davido,[],147Damilare,pre-release,Neutral
23,https://twitter.com/joshacheampong_/status/1641146936068538382,https://twitter.com/joshacheampong_,2023-03-29 18:34:55,savevidbot,1.0,,1.0,Davido,[],joshacheampong_,pre-release,Neutral
24,https://twitter.com/SaveVidBot/status/1641147598731116545,https://twitter.com/SaveVidBot,2023-03-29 18:37:33,yoo joshacheampong oh chief video url awseome always check download page respond cheers,1.0,,,Davido,[],SaveVidBot,pre-release,Positive
25,https://twitter.com/popsyce/status/1641148725857746965,https://twitter.com/popsyce,2023-03-29 18:42:1,biggest,,,,Davido,[],popsyce,pre-release,Neutral
26,https://twitter.com/uncledaddy__/status/1641148842463592465,https://twitter.com/uncledaddy__,2023-03-29 18:42:29,mahn new workout playlist way,,,,Davido,[],uncledaddy__,pre-release,Neutral
27,https://twitter.com/FowobiofLagos/status/1641149200829403136,https://twitter.com/FowobiofLagos,2023-03-29 18:43:55,mention fave mean justice part song album,8.0,,4.0,Davido,[],FowobiofLagos,pre-release,Positive
28,https://twitter.com/__ElHarmony/status/1641152121381715988,https://twitter.com/__ElHarmony,2023-03-29 18:55:31,savevidbot,,,1.0,Davido,[],__ElHarmony,pre-release,Neutral
29,https://twitter.com/SaveVidBot/status/1641152796929179648,https://twitter.com/SaveVidBot,2023-03-29 18:58:12,yoo elharmony oh amie video url awseome check download page respond thumbs,,,,Davido,[],SaveVidBot,pre-release,Neutral
30,https://twitter.com/x1unkwn/status/1641152853929492492,https://twitter.com/x1unkwn,2023-03-29 18:58:26,timeless,4.0,,,Davido,[],x1unkwn,pre-release,Neutral
31,https://twitter.com/DJDaley/status/1641155949707575302,https://twitter.com/DJDaley,2023-03-29 19:10:44,anticipate,2.0,,1.0,Davido,[],DJDaley,pre-release,Neutral
32,https://twitter.com/BeastMarketer/status/1641180482896363520,https://twitter.com/BeastMarketer,2023-03-29 20:48:13,let us go,1.0,,,Davido,[],BeastMarketer,pre-release,Neutral
33,https://twitter.com/EmaksonJ/status/1641188535158857728,https://twitter.com/EmaksonJ,2023-03-29 21:20:13,savevidbot,,,1.0,Davido,[],EmaksonJ,pre-release,Neutral
34,https://twitter.com/SaveVidBot/status/1641189524188569600,https://twitter.com/SaveVidBot,2023-03-29 21:24:9,yoo emaksonj done dear video url add download link bookmark device check respond,,,,Davido,[],SaveVidBot,pre-release,Positive
35,https://twitter.com/DanielRegha/status/1641193650414600193,https://twitter.com/DanielRegha,2023-03-29 21:40:32,davido would like draw attention pledge made since march year everyone aware ordeal went thru last yr excuse go pick winners album drops give team money disburse,852.0,75.0,446.0,Davido,[],DanielRegha,pre-release,Positive
36,https://twitter.com/bwoyilo/status/1641196119945347072,https://twitter.com/bwoyilo,2023-03-29 21:50:21,daniel bitter soul,4.0,,,Davido,[],bwoyilo,pre-release,Negative
37,https://twitter.com/AgimObiz/status/1641139050563108872,https://twitter.com/AgimObiz,2023-03-29 18:3:35,obo,13.0,,,Davido,[],AgimObiz,pre-release,Neutral
38,https://twitter.com/SnowMonniee/status/1641139060994342927,https://twitter.com/SnowMonniee,2023-03-29 18:3:37,better time,9.0,,1.0,Davido,[],SnowMonniee,pre-release,Positive
39,https://twitter.com/LeekzyBerry/status/1641139063288651776,https://twitter.com/LeekzyBerry,2023-03-29 18:3:38,soft,18.0,,1.0,Davido,[],LeekzyBerry,pre-release,Neutral
40,https://twitter.com/Damzynee12/status/1641139070620278788,https://twitter.com/Damzynee12,2023-03-29 18:3:39,ifb immediately,24.0,,4.0,Davido,[],Damzynee12,pre-release,Neutral
41,https://twitter.com/Olakunlehenry17/status/1641139073124278274,https://twitter.com/Olakunlehenry17,2023-03-29 18:3:40,ifb,44.0,1.0,3.0,Davido,[],Olakunlehenry17,pre-release,Neutral
42,https://twitter.com/mafia3O/status/1641139078010634251,https://twitter.com/mafia3O,2023-03-29 18:3:41,king afrobeat,24.0,1.0,1.0,Davido,[],mafia3O,pre-release,Neutral
43,https://twitter.com/yinbri/status/1641139081483517972,https://twitter.com/yinbri,2023-03-29 18:3:42,,56.0,,2.0,Davido,[],yinbri,pre-release,Neutral
44,https://twitter.com/wizzwicesmk/status/1641139082066624513,https://twitter.com/wizzwicesmk,2023-03-29 18:3:42,ifb,30.0,,4.0,Davido,[],wizzwicesmk,pre-release,Neutral
45,https://twitter.com/Flexray02/status/1641139083694014464,https://twitter.com/Flexray02,2023-03-29 18:3:43,ifb,39.0,,2.0,Davido,[],Flexray02,pre-release,Neutral
46,https://twitter.com/otunbascooter/status/1641139084612468745,https://twitter.com/otunbascooter,2023-03-29 18:3:43,,37.0,1.0,1.0,Davido,[],otunbascooter,pre-release,Neutral
47,https://twitter.com/txoreed/status/1641139085006741504,https://twitter.com/txoreed,2023-03-29 18:3:43,,25.0,,2.0,Davido,[],txoreed,pre-release,Neutral
48,https://twitter.com/Jordanward755/status/1641139085526945793,https://twitter.com/Jordanward755,2023-03-29 18:3:43,ifb,43.0,,5.0,Davido,[],Jordanward755,pre-release,Neutral
49,https://twitter.com/daluuu_/status/1641139087666020353,https://twitter.com/daluuu_,2023-03-29 18:3:44,lfb,42.0,,2.0,Davido,[],daluuu_,pre-release,Neutral
50,https://twitter.com/erioluwatee/status/1641139083668799489,https://twitter.com/erioluwatee,2023-03-29 18:3:43,yes sir,16.0,,1.0,Davido,[],erioluwatee,pre-release,Positive
51,https://twitter.com/be_ckyy/status/1641139090086035461,https://twitter.com/be_ckyy,2023-03-29 18:3:44,king,14.0,,,Davido,[],be_ckyy,pre-release,Neutral
52,https://twitter.com/blackclouddds/status/1641139094590717967,https://twitter.com/blackclouddds,2023-03-29 18:3:45,obo,13.0,,1.0,Davido,[],blackclouddds,pre-release,Neutral
53,https://twitter.com/OCHOYI01/status/1641139095836426259,https://twitter.com/OCHOYI01,2023-03-29 18:3:45,,22.0,,2.0,Davido,[],OCHOYI01,pre-release,Neutral
54,https://twitter.com/Da_berry01/status/1641139095974944770,https://twitter.com/Da_berry01,2023-03-29 18:3:46,ifb,55.0,,6.0,Davido,[],Da_berry01,pre-release,Neutral
55,https://twitter.com/DharmyJr/status/1641139097707094016,https://twitter.com/DharmyJr,2023-03-29 18:3:46,cannot wait,14.0,,1.0,Davido,[],DharmyJr,pre-release,Neutral
56,https://twitter.com/Mperor1_/status/1641139097723863058,https://twitter.com/Mperor1_,2023-03-29 18:3:46,goat,12.0,,1.0,Davido,[],Mperor1_,pre-release,Neutral
57,https://twitter.com/rose_jefe/status/1641139097967243264,https://twitter.com/rose_jefe,2023-03-29 18:3:46,ifb everyone,20.0,,4.0,Davido,[],rose_jefe,pre-release,Neutral
58,https://twitter.com/mitchaj3/status/1641139098084573184,https://twitter.com/mitchaj3,2023-03-29 18:3:46,obo,16.0,1.0,,Davido,[],mitchaj3,pre-release,Neutral
59,https://twitter.com/Oluwasegun__Jp/status/1641139100110422027,https://twitter.com/Oluwasegun__Jp,2023-03-29 18:3:47,ifb oluwasegun jp,39.0,,3.0,Davido,[],Oluwasegun__Jp,pre-release,Positive
60,https://twitter.com/Eniola__007/status/1641139101897220096,https://twitter.com/Eniola__007,2023-03-29 18:3:47,ifb,40.0,,5.0,Davido,[],Eniola__007,pre-release,Neutral
61,https://twitter.com/Marley_9ine/status/1641139104191586305,https://twitter.com/Marley_9ine,2023-03-29 18:3:47,,29.0,,1.0,Davido,[],Marley_9ine,pre-release,Neutral
62,https://twitter.com/babanla_yusuf/status/1641139104728358912,https://twitter.com/babanla_yusuf,2023-03-29 18:3:48,yes ready,8.0,1.0,,Davido,[],babanla_yusuf,pre-release,Positive
63,https://twitter.com/mayor_of_lagox/status/1641139108616470538,https://twitter.com/mayor_of_lagox,2023-03-29 18:3:49,one baddest,7.0,,1.0,Davido,[],mayor_of_lagox,pre-release,Neutral
64,https://twitter.com/gold_henny/status/1641139114807263237,https://twitter.com/gold_henny,2023-03-29 18:3:50,,15.0,1.0,1.0,Davido,[],gold_henny,pre-release,Neutral
65,https://twitter.com/Dudugold691/status/1641139116199780357,https://twitter.com/Dudugold691,2023-03-29 18:3:50,ifb,30.0,,4.0,Davido,[],Dudugold691,pre-release,Neutral
66,https://twitter.com/_peterock/status/1641139120134053889,https://twitter.com/_peterock,2023-03-29 18:3:51,ifb,11.0,,1.0,Davido,[],_peterock,pre-release,Neutral
67,https://twitter.com/HaramydeAbayomi/status/1641139127184654352,https://twitter.com/HaramydeAbayomi,2023-03-29 18:3:53,,19.0,1.0,1.0,Davido,[],HaramydeAbayomi,pre-release,Neutral
68,https://twitter.com/ASK_OF_AYOMIDE/status/1641139134122033155,https://twitter.com/ASK_OF_AYOMIDE,2023-03-29 18:3:55,ifb,40.0,,4.0,Davido,[],ASK_OF_AYOMIDE,pre-release,Neutral
69,https://twitter.com/JamoTweets_/status/1641139139159392257,https://twitter.com/JamoTweets_,2023-03-29 18:3:56,ready goat,4.0,2.0,,Davido,[],JamoTweets_,pre-release,Positive
70,https://twitter.com/Ojodale46/status/1641139141462065160,https://twitter.com/Ojodale46,2023-03-29 18:3:56,goat,18.0,,,Davido,[],Ojodale46,pre-release,Neutral
71,https://twitter.com/BadDerrick_/status/1641139155160760322,https://twitter.com/BadDerrick_,2023-03-29 18:4:0,like reply follow,106.0,4.0,5.0,Davido,[],BadDerrick_,pre-release,Positive
72,https://twitter.com/allen2dworld/status/1641139157853511681,https://twitter.com/allen2dworld,2023-03-29 18:4:0,cannot wait,33.0,,1.0,Davido,[],allen2dworld,pre-release,Neutral
73,https://twitter.com/livingstoneosas/status/1641139162995720192,https://twitter.com/livingstoneosas,2023-03-29 18:4:2,happiness wan finish,12.0,,1.0,Davido,[],livingstoneosas,pre-release,Positive
74,https://twitter.com/TENoverTEN_/status/1641139170725732352,https://twitter.com/TENoverTEN_,2023-03-29 18:4:3,obo,11.0,,2.0,Davido,[],TENoverTEN_,pre-release,Neutral
75,https://twitter.com/Oluwamhayor7/status/1641139171409514496,https://twitter.com/Oluwamhayor7,2023-03-29 18:4:4,nutted timeless season,7.0,,1.0,Davido,[],Oluwamhayor7,pre-release,Neutral
76,https://twitter.com/1Promarts/status/1641139173292736512,https://twitter.com/1Promarts,2023-03-29 18:4:4,baddest shepe believe like crazy surest boss,16.0,,,Davido,[],1Promarts,pre-release,Positive
77,https://twitter.com/ShutUpCom2/status/1641139185972043776,https://twitter.com/ShutUpCom2,2023-03-29 18:4:7,ifb,26.0,1.0,1.0,Davido,[],ShutUpCom2,pre-release,Neutral
78,https://twitter.com/Man_Like_Mannie/status/1641139186030739462,https://twitter.com/Man_Like_Mannie,2023-03-29 18:4:7,obo,24.0,,,Davido,[],Man_Like_Mannie,pre-release,Neutral
79,https://twitter.com/yemioftheworld/status/1641139188375474177,https://twitter.com/yemioftheworld,2023-03-29 18:4:8,king king king ben waiting triggers,19.0,,1.0,Davido,[],yemioftheworld,pre-release,Neutral
80,https://twitter.com/rechi_bee/status/1641139195224653831,https://twitter.com/rechi_bee,2023-03-29 18:4:9,,16.0,,2.0,Davido,[],rechi_bee,pre-release,Neutral
81,https://twitter.com/Ziyechman/status/1641139235276177409,https://twitter.com/Ziyechman,2023-03-29 18:4:19,greatest artist africa,218.0,30.0,6.0,Davido,[],Ziyechman,pre-release,Positive
82,https://twitter.com/RabsonLee/status/1641139245665353730,https://twitter.com/RabsonLee,2023-03-29 18:4:21,davido never disappoint,20.0,,1.0,Davido,[],RabsonLee,pre-release,Positive
83,https://twitter.com/iprinceofficia/status/1641139252476903425,https://twitter.com/iprinceofficia,2023-03-29 18:4:23,,18.0,,1.0,Davido,[],iprinceofficia,pre-release,Neutral
84,https://twitter.com/__waleedy/status/1641139276355076116,https://twitter.com/__waleedy,2023-03-29 18:4:29,love obo drop aza,40.0,,33.0,Davido,[],__waleedy,pre-release,Positive
85,https://twitter.com/Fuadian3/status/1641139280641753088,https://twitter.com/Fuadian3,2023-03-29 18:4:30,kg,14.0,,1.0,Davido,[],Fuadian3,pre-release,Neutral
86,https://twitter.com/finesse_crypt/status/1641139285100228614,https://twitter.com/finesse_crypt,2023-03-29 18:4:31,ffb,17.0,,3.0,Davido,[],finesse_crypt,pre-release,Neutral
87,https://twitter.com/thekhaleedahhh/status/1641139290296942604,https://twitter.com/thekhaleedahhh,2023-03-29 18:4:32,ready,15.0,,,Davido,[],thekhaleedahhh,pre-release,Positive
88,https://twitter.com/p_apilo/status/1641139292624809985,https://twitter.com/p_apilo,2023-03-29 18:4:32,obo,27.0,,1.0,Davido,[],p_apilo,pre-release,Neutral
89,https://twitter.com/Restwerey/status/1641139330277048334,https://twitter.com/Restwerey,2023-03-29 18:4:41,rest one cares mid album,1.0,,8.0,Davido,[],Restwerey,pre-release,Positive
90,https://twitter.com/olaacce/status/1641139331204038657,https://twitter.com/olaacce,2023-03-29 18:4:42,ifb,40.0,,4.0,Davido,[],olaacce,pre-release,Neutral
91,https://twitter.com/iam_demmix/status/1641139360069304321,https://twitter.com/iam_demmix,2023-03-29 18:4:48,davido number spot album lands,34.0,1.0,1.0,Davido,[],iam_demmix,pre-release,Positive
92,https://twitter.com/uredo_husna/status/1641139385541312513,https://twitter.com/uredo_husna,2023-03-29 18:4:55,obo,17.0,,1.0,Davido,[],uredo_husna,pre-release,Neutral
93,https://twitter.com/dimpledbright/status/1641139386501693445,https://twitter.com/dimpledbright,2023-03-29 18:4:55,timeline world,7.0,,1.0,Davido,[],dimpledbright,pre-release,Neutral
94,https://twitter.com/damolexxy/status/1641139386984144897,https://twitter.com/damolexxy,2023-03-29 18:4:55,ifb,28.0,,1.0,Davido,[],damolexxy,pre-release,Neutral
95,https://twitter.com/Heyjordan007/status/1641139429396865026,https://twitter.com/Heyjordan007,2023-03-29 18:5:5,davido streams besides months still surpasses wizkid,12.0,,5.0,Davido,[],Heyjordan007,pre-release,Neutral
96,https://twitter.com/Afolabi28739962/status/1641139450859122689,https://twitter.com/Afolabi28739962,2023-03-29 18:5:10,lfg,15.0,,,Davido,[],Afolabi28739962,pre-release,Neutral
97,https://twitter.com/ChilitoHays/status/1641139451496747014,https://twitter.com/ChilitoHays,2023-03-29 18:5:10,obo,10.0,,2.0,Davido,[],ChilitoHays,pre-release,Neutral
98,https://twitter.com/ASK_OF_AYOMIDE/status/1641139481330712580,https://twitter.com/ASK_OF_AYOMIDE,2023-03-29 18:5:17,wan hear anything apart timeless album,33.0,3.0,,Davido,[],ASK_OF_AYOMIDE,pre-release,Neutral
99,https://twitter.com/d_Cr8tor/status/1641139486330433537,https://twitter.com/d_Cr8tor,2023-03-29 18:5:19,,14.0,,,Davido,[],d_Cr8tor,pre-release,Neutral
100,https://twitter.com/SirGerald17/status/1641139486863110144,https://twitter.com/SirGerald17,2023-03-29 18:5:19,idolo,19.0,,3.0,Davido,[],SirGerald17,pre-release,Neutral
