,Tweet_Website,Author_Web_Page_URL,Tweet_Time,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Artist,hashtags,users,Sentiment
0,https://twitter.com/davido/status/1641138979545153540/retweets,https://twitter.com/davido,2023-03-29 18:3:18,almost time bring official tracklist upcoming album timeless spotify get ready spotify spotifyafrica spotifyuk,0,0,0,Davido,['#timeless'],davido,Positive
1,https://twitter.com/ImoPunter/status/1641139066606440449,https://twitter.com/ImoPunter,2023-03-29 18:3:39,one davido,0,0,3,Davido,[],ImoPunter,Neutral
2,https://twitter.com/REAL_OKIEMUTINI/status/1641139081085165568,https://twitter.com/REAL_OKIEMUTINI,2023-03-29 18:3:42,yes,0,0,2,Davido,[],REAL_OKIEMUTINI,Positive
3,https://twitter.com/Devil30BG/status/1641139103696551941,https://twitter.com/Devil30BG,2023-03-29 18:3:47,one cares fell lil bro,0,0,13,Davido,[],Devil30BG,Positive
4,https://twitter.com/Danny53876/status/1641139528302723072,https://twitter.com/Danny53876,2023-03-29 18:5:29,comot yb pic dp day mad,0,0,1,Davido,[],Danny53876,Negative
5,https://twitter.com/LEWINSKl/status/1641139295892406272,https://twitter.com/LEWINSKl,2023-03-29 18:4:33,engage tweet excited davido drop new album,0,0,6,Davido,[],LEWINSKl,Positive
6,https://twitter.com/Deribb/status/1641139635228114955,https://twitter.com/Deribb,2023-03-29 18:5:54,baddest,0,0,0,Davido,[],Deribb,Neutral
7,https://twitter.com/Mbahdeyforyou/status/1641140064838098944,https://twitter.com/Mbahdeyforyou,2023-03-29 18:7:37,bring,0,0,1,Davido,[],Mbahdeyforyou,Neutral
8,https://twitter.com/ZeekiHodl/status/1641140651164041228,https://twitter.com/ZeekiHodl,2023-03-29 18:9:56,biggest album world dropping less hours davido greatest timeless,0,0,3,Davido,[],ZeekiHodl,Positive
9,https://twitter.com/sirfrancisdubem/status/1641140979494277123,https://twitter.com/sirfrancisdubem,2023-03-29 18:11:15,beating hear music go mad,0,0,0,Davido,[],sirfrancisdubem,Negative
10,https://twitter.com/mistaremi/status/1641141122880635198,https://twitter.com/mistaremi,2023-03-29 18:11:49,go timeless,0,0,0,Davido,[],mistaremi,Neutral
11,https://twitter.com/Danny53876/status/1641141199997116417,https://twitter.com/Danny53876,2023-03-29 18:12:7,go stream album idolo,0,0,0,Davido,[],Danny53876,Neutral
12,https://twitter.com/michaelbanksfx/status/1641142187294433281,https://twitter.com/michaelbanksfx,2023-03-29 18:16:3,obo reason,0,0,1,Davido,[],michaelbanksfx,Neutral
13,https://twitter.com/R0VIEL/status/1641142556216918036,https://twitter.com/R0VIEL,2023-03-29 18:17:31,already pick favorite album let us go,0,0,0,Davido,[],R0VIEL,Positive
14,https://twitter.com/tosynakins/status/1641143318032547848,https://twitter.com/tosynakins,2023-03-29 18:20:32,let us fucking go,0,0,0,Davido,[],tosynakins,Neutral
