,poster,post_date,comment_person,comment,comment_date,hashtags,type,Sentiment
0,beyonce,2022-7-29,TikTok ,hive sleeping tonight,2022-7-29,[],post-release,Neutral
1,beyonce,2022-7-29,Shalissaaaaaa😎🧍🏾‍♀️🥴💖 ,nah church girl took lil loop ngl,2022-7-29,[],post-release,Negative
2,beyonce,2022-7-29,ChannDaily 🏳️‍🌈 ,transition cuff energy never sleep guess,2022-7-29,[],post-release,Positive
3,beyonce,2022-7-29,ZAYA ,renaissance truly,2022-7-29,[],post-release,Positive
4,beyonce,2022-7-29,joeybonvie ,alien superstar everything,2022-7-29,[],post-release,Neutral
5,beyonce,2022-7-29,BaddieBey😜😜😜 ,beyonc ate deeply sorry people leaked work spend blood sweat tears still anyways,2022-7-29,[],post-release,Negative
6,beyonce,2022-7-29,Challan ,literally entire day marked calendar,2022-7-29,[],post-release,Neutral
7,beyonce,2022-7-29,Syd (YourHealthCareScoop) ,madam transitions even realize halfway energy,2022-7-29,[],post-release,Positive
8,beyonce,2022-7-29,Oliver Sims IV ,way realize songs transitions smooth,2022-7-29,[],post-release,Neutral
9,beyonce,2022-7-29,Therealsnowsister 🎀 ,sike got,2022-8-4,[],post-release,Neutral
10,beyonce,2022-7-29,Nate White ,let us go leme put knee pads,2022-7-29,[],post-release,Neutral
11,beyonce,2022-7-29,JuicyBodyGoddess ,thique new soul song,2022-7-29,[],post-release,Neutral
12,beyonce,2022-7-29,Vanna_314 ,bey ready church girl,2022-7-29,[],post-release,Positive
13,beyonce,2022-7-29,ZURI⚡️ ,quit job fell love album queen thank,2022-7-29,[],post-release,Positive
14,beyonce,2022-7-29,Best of Vogue™ ,losing right,2022-7-29,[],post-release,Negative
15,beyonce,2022-7-29,back pain ,virgos groove slaying,2022-7-29,[],post-release,Neutral
16,beyonce,2022-7-29,Stream Renaissance ,already topping charts queen industry,2022-7-29,[],post-release,Neutral
17,beyonce,2022-7-29,Mo Ashlei ,virgos queen gave us another anthem,2022-7-29,[],post-release,Neutral
18,beyonce,2022-7-29,bran ,album everything kidding,2022-7-29,[],post-release,Positive
19,beyonce,2022-7-29,Beynet ,know visuals gon go crazy,2022-7-29,[],post-release,Negative
20,beyonce,2022-7-29,MegaGoneFree ,queen bee back,2022-7-29,[],post-release,Neutral
21,beyonce,2022-7-29,Jöshuaxavious ⭐️ ,church girls rise,2022-7-29,[],post-release,Neutral
22,beyonce,2022-7-29,Mrs. Johnnitta Jackson ,love thique already beyonc,2022-7-29,[],post-release,Positive
23,beyonce,2022-7-29,PatD Lucky ,,2022-7-29,[],post-release,Neutral
24,beyonce,2022-7-29,hnicholsillustration ,lucky,2022-7-29,[],post-release,Positive
25,beyonce,2022-7-29,Canaan ,move though,2022-7-29,[],post-release,Neutral
26,beyonce,2022-7-29,Texas Humor ,sleeping tn,2022-7-29,[],post-release,Neutral
27,beyonce,2022-7-29,Fernanda ,beyonce literally beautiful,2022-7-29,[],post-release,Positive
28,beyonce,2022-7-29,Josh Dior 🤟🏾😛 ,ready,2022-7-29,[],post-release,Positive
29,beyonce,2022-7-29,Btypep ,love reason b joined tt promote album knows audience marketing,2022-7-30,[],post-release,Positive
30,beyonce,2022-7-29,Rah ,ready,2022-7-29,[],post-release,Positive
31,beyonce,2022-7-29,lust ,beyonc mother,2022-7-29,[],post-release,Neutral
32,beyonce,2022-7-29,Shawn Thomas 🇺🇸🇮🇳 ,back,2022-7-29,[],post-release,Neutral
33,beyonce,2022-7-29,Riz ,beyonc beyonc,2022-7-29,[],post-release,Neutral
