,poster,post_date,comment_person,comment,comment_date,hashtags,type,Sentiment
0,beyonce,2022-7-14,Katalina ,imagine beyoncs page would perish,2022-8-10,[],pre-release,Neutral
1,beyonce,2022-7-14,Favoritewcw ,bae,2022-7-14,[],pre-release,Neutral
2,beyonce,2022-7-14,ChannDaily 🏳️‍🌈 ,beyonce,2022-7-14,[],pre-release,Neutral
3,beyonce,2022-7-14,Keem ✅ ,fact beyonc gave credit,2022-7-20,[],pre-release,Positive
4,beyonce,2022-7-14,Shenee ,queen hello,2022-7-14,[],pre-release,Neutral
5,beyonce,2022-7-14,Queen44 ,song move spirit soul dark,2022-8-1,[],pre-release,Positive
6,beyonce,2022-7-14,Joseph Stone ,beyoncs first tiktok hey quen,2022-7-14,[],pre-release,Neutral
7,beyonce,2022-7-14,isaac ,love bey,2022-7-14,[],pre-release,Positive
8,beyonce,2022-7-14,Yanah Calese ,amber wallin beyonce posted,2022-7-14,[],pre-release,Neutral
9,beyonce,2022-7-14,RIRI ,finally,2022-7-14,[],pre-release,Neutral
10,beyonce,2022-7-14,Kilo Diamond ,beyonc youu fr,2022-7-14,[],pre-release,Neutral
11,beyonce,2022-7-14,Artpu ,beyonc posting tiktok also giving credit people videos real queen behavior,2022-7-15,[],pre-release,Positive
12,beyonce,2022-7-14,Malcolm Jamel ,,2022-7-14,[],pre-release,Neutral
13,beyonce,2022-7-14,nia ,finally found password acc,2022-7-14,[],pre-release,Neutral
14,beyonce,2022-7-14,"Skyler ""Sky"" Harris ",looking case,2022-7-14,[],pre-release,Neutral
15,beyonce,2022-7-14,tianaagiselle .❦ ,beyy love queen queening,2022-7-14,[],pre-release,Positive
16,beyonce,2022-7-14,J A Y S O N ✨🍡 ,cardi girl died,2022-7-22,[],pre-release,Negative
17,beyonce,2022-7-14,ʚɞ ,made eeit using song,2022-7-14,[],pre-release,Neutral
18,beyonce,2022-7-14,beyonslay ,cardi b mother posted,2022-7-14,[],pre-release,Neutral
19,beyonce,2022-7-14,Bey713 ,tshirt designs boxes,2022-7-14,[],pre-release,Neutral
20,beyonce,2022-7-14,naomi 🤍 ,beyonc page hello,2022-7-14,[],pre-release,Neutral
21,beyonce,2022-7-14,Traviance ,freaking every creator,2022-7-14,[],pre-release,Negative
22,beyonce,2022-7-14,Beautiful Balloons by Bria ,cardi vibes fr,2022-7-14,[],pre-release,Neutral
23,beyonce,2022-7-14,MadameTussaudsUSA ,tellin everybodybeyoncs tiktok,2022-7-20,[],pre-release,Neutral
24,beyonce,2022-7-14,ᴊᴏʀᴅꜱʏ❁ ,beyonc,2022-7-14,[],pre-release,Neutral
25,beyonce,2022-7-14,⭐️ THEE JHAZZ ⭐️ ,beyonc giselle knowles hyphen carter,2022-7-14,[],pre-release,Neutral
26,beyonce,2022-7-14,William Stryker ,cardi b,2022-7-14,[],pre-release,Neutral
27,beyonce,2022-7-14,Black Girls Smell Good ,giselle pls,2022-7-14,[],pre-release,Positive
28,beyonce,2022-7-14,Ki Davis ,love,2022-7-14,[],pre-release,Positive
29,beyonce,2022-7-14,1_damirkee ,beyonc,2022-7-14,[],pre-release,Neutral
30,beyonce,2022-7-14,moved to minajblazin ,hi mother,2022-7-14,[],pre-release,Neutral
31,beyonce,2022-7-14,Queen B ,wow,2022-7-14,[],pre-release,Positive
32,beyonce,2022-7-14,Harmony ,love queen,2022-7-14,[],pre-release,Positive
33,beyonce,2022-7-14,calvin 🍃 ,beyonce,2022-7-14,[],pre-release,Neutral
34,beyonce,2022-7-14,ro ,beyonce,2022-7-14,[],pre-release,Neutral
